message,label
"Dear Student, You are invited to interview for an internship at Cognizant. Date: May 5, 2026. Time: 10 AM IST. Mode: Virtual (link will be shared). Please keep your resume ready. No fees are charged at any stage of our hiring. Questions? Email campus@cognizant.com. Cognizant Campus Recruitment",1
"Hi Divya, Your application for the Graphic Design Internship at PixelPerfect Studio has been accepted. Stipend: Rs 12000/month. Duration: 2 months. Start: June 1. Please confirm your interest by replying here. Formal offer letter will be sent via email within 3 days. Welcome! PixelPerfect HR",1
"Dear Raj, We are writing to confirm your internship with Accenture India. Role: Technology Consulting Intern. Location: Bangalore. Duration: Summer 2026 (10 weeks). Your offer package will be sent to your university email. Please complete the acceptance on our portal within 7 days. Accenture Campus Hiring",1
"Hello Sanya, Thank you for completing all interview rounds. We are excited to offer you the Product Management Internship at Ola. Duration: 3 months, Stipend: Rs 40000/month, Location: Bangalore. Next steps: Accept via the link sent to your email. Background verification will follow. Contact: campus.hiring@ola.com. Ola Talent Team",1
"Hi Arjun, Great news! You've been selected for a Software Testing Internship at TestPro Labs. Details: Duration 3 months, Stipend Rs 15000/month, Remote. We'll send the offer letter to your email by end of this week. Please confirm your acceptance by replying YES. Welcome! TestPro HR",1
"Dear Candidate, Your internship application at Capgemini has been shortlisted. We invite you for a technical assessment on May 3, 2026 at 2 PM IST. The test link will be emailed to you 30 minutes before. Capgemini does not charge any fees during recruitment. Good luck! Capgemini Campus Team",1
"Hi Nisha, Following your successful interview, we offer you a Social Media Marketing Internship at BuzzBee Digital. Duration: 3 months, Stipend: Rs 8000/month, Work from home. Reply to confirm and we will email the offer letter. For questions reach us at hr@buzzbee.in. BuzzBee Digital",1
"Dear Rahul, Good evening! This is to inform you that you have cleared the final round for the internship at Mindtree. Role: Java Developer Intern, Stipend: Rs 25000/month, Duration: 6 months, Location: Chennai. The HR team will send your offer letter to your registered email within 48 hours. Confirm by replying. Mindtree Recruitment",1
"Hi there! We're excited to share that after reviewing 500+ applications, you've been chosen for a Video Editing Internship at CreativeEdge Media. Stipend: Rs 10000/month. Duration: 2 months. Fully remote. Confirm your interest by replying and we'll proceed with the paperwork via email. CreativeEdge HR",1
"Dear Pooja, Congratulations! We are delighted to offer you the Financial Analyst Internship at KPMG India. Duration: 8 weeks (June-July 2026). Location: Mumbai. Compensation details are in the attached offer letter sent to your university email. Please accept on our careers portal by May 10. KPMG Campus Recruitment",1
"SPECIAL OFFER: Internship at TOP MNC with Rs 50000 stipend! No interview, no experience needed. Just pay Rs 1999 enrollment fee and start earning from home! 100% job guarantee after completion. WhatsApp +91-9876543210 to grab your spot. Only 10 seats left! Don't miss out!",0
"Hi! We noticed your LinkedIn profile. You qualify for our PREMIUM internship program. Benefits: Certificate from Harvard, Stipend Rs 30000, LOR from CEO. Enroll today for just Rs 5999 (discounted from Rs 20000). Payment via UPI: premiumjobs@paytm. Offer expires midnight!",0
"ALERT: Your internship spot at Amazon is about to be cancelled! Pay Rs 2500 security deposit NOW to confirm. Failure to pay within 4 hours means permanent disqualification. Pay via GPay to 8877665544. Share receipt on WhatsApp +91-9012345678. HURRY!",0
"Dear Student, You've been chosen for our IBM Certified Internship Program. What's included: Training + Certificate + Stipend of Rs 15000. One-time fee: Rs 6999. Pay here: https://ibm-certified-intern.co.in/pay. Batch starting next week. Limited seats! Contact WhatsApp only: +91-7766554433",0
"Congratulations! You are selected for an internship at Google India (through our partnered hiring agency). To proceed, fill this form: https://forms.gle/googlehire2026 and pay Rs 1500 registration. You'll receive your Google offer letter within 24 hours of payment. Don't delay - 95% spots filled!",0
"MEGA OPPORTUNITY: Work from home internship with Rs 40000/month stipend. Any branch, any year. No skills required - we train you! Just pay Rs 899 to join. Certificate from recognized university included. WhatsApp us: +91-8899001122. Share with friends for extra discount!",0
"Hi Candidate, You've been fast-tracked for our exclusive internship. Company: Confidential (Fortune 500). Stipend: Rs 35000. Duration: 2 months. To join, complete payment of Rs 3999 processing fee via PhonePe to 9988776655 and send screenshot on WhatsApp. We'll share company details after payment only.",0
"Your resume has caught our attention! We're offering a Digital Marketing Internship with Rs 20000/month. But you need to complete our mandatory Rs 2499 online assessment first. Pay at: https://assessment-portal.xyz/pay. Certificate and offer letter included. Limited time - act now! WhatsApp: +91-9876543210",0
"FINAL NOTICE: The internship registration you started last week is about to expire. Pay the remaining Rs 4500 within 2 hours to avoid losing your guaranteed placement. This is your LAST chance. UPI: placement@ybl. Send payment proof to +91-7654321098.",0
"Dear Student, Exclusive internship opportunity from Microsoft (via our training partner). Get Microsoft certification + 3 month internship. Total package worth Rs 50000 - available now for just Rs 8999! Scholarship ending today. Pay now: https://ms-training-partner.com/enroll. WhatsApp support: +91-9012345678",0
"Hi! Earn Rs 1 Lakh+ per month with our affiliate marketing internship. Zero investment needed initially - just pay Rs 499 joining fee. We provide everything: training, mentorship, tools. Join 10000+ successful interns. Register: https://forms.gle/earnbig2026. Call/WhatsApp: +91-8765432109",0
"BREAKING NEWS: Top IT company hiring 1000 interns through our agency. No coding needed! Roles in HR, Marketing, Design, Testing. Pay Rs 1999 to register and get placed within 7 days. Money back guarantee! WhatsApp HIRE to +91-9988776655 for instant registration.",0
"Dear Candidate, Your profile matches our AI Internship requirements. Stipend: Rs 45000/month. Duration: 6 months with PPO. Only catch - you need our Rs 7999 AI bootcamp certificate to qualify. Enroll NOW: https://ai-bootcamp.online/pay. Certificate delivered in 2 days. Internship starts immediately after!",0
"Special scholarship! Get internship at Wipro/Infosys/TCS with our placement program. 100% success rate. Original fee Rs 25000 but TODAY ONLY Rs 4999! Pay via Google Pay to 9876543210. Share receipt + resume on WhatsApp +91-8765432109. Placement within 15 days guaranteed!",0
"Hello! You are PRE-APPROVED for a high-paying internship. Company will be revealed after registration. Stipend range: Rs 30000-60000. Any degree accepted. Registration fee: Rs 1299. Pay via UPI and share screenshot on WhatsApp +91-9012345678. This link expires in 30 minutes. Act NOW!",0
